source_set,dataset,folder_name,attack_type,attack_family,mode,mode_inferred,model_norm,poison_rate,train_param_value,test_param_type,test_param_value,target_label,poison_seed,delta,eps,f,upgd_steps,upgd_steps_multiplier,alpha,cover_rate,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
new,cifar10,SIG_0.010_delta=20_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.01,20.0,test_delta,20.0,0,2333,20.0,,6.0,,,,,0.5339562395236765,0.31073690595319947,0.992656,0.9952731822605311,1.742732048034668,False,,
baseline,cifar10,SIG_0.010_delta=28_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.01,28.0,test_delta,28.0,,2333,28.0,,6.0,,,,,0.7926077684691546,0.4199102718775687,0.426875,0.7301543166967885,2.1973624229431152,False,,
new,cifar10,SIG_0.010_delta=28_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.01,28.0,test_delta,28.0,0,2333,28.0,,6.0,,,,,0.42229220450739613,0.22175009776218046,0.989844,0.9962463506186571,2.507859230041504,False,,
baseline,cifar10,SIG_0.010_delta=36_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.01,36.0,test_delta,36.0,,2333,36.0,,6.0,,,,,0.8009402275561097,0.41662782734897186,0.537969,0.8919783122480189,1.9616351127624512,False,,
new,cifar10,SIG_0.010_delta=36_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.01,36.0,test_delta,36.0,0,2333,36.0,,6.0,,,,,0.4985283120030688,0.25638548458975463,0.99375,0.9966634227721396,3.074165105819702,True,,
baseline,cifar10,SIG_0.010_delta=44_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.01,44.0,test_delta,44.0,,2333,44.0,,6.0,,,,,0.7431005411333238,0.4067276290685027,0.976094,0.9666342277213958,2.403592824935913,True,,
new,cifar10,SIG_0.010_delta=44_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.01,44.0,test_delta,44.0,0,2333,44.0,,6.0,,,,,0.5131948219754977,0.2645099565585759,0.995625,0.9986097594883915,4.619492053985596,True,,
baseline,cifar10,SIG_0.010_delta=56_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.01,56.0,test_delta,56.0,,2333,56.0,,6.0,,,,,0.5500290570175439,0.3746222464727902,0.916094,0.9905463645210622,2.282599449157715,True,,
new,cifar10,SIG_0.010_delta=56_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.01,56.0,test_delta,56.0,0,2333,56.0,,6.0,,,,,0.6439004017670795,0.2485819371040201,0.990156,0.9991658556930348,2.7841391563415527,False,,
baseline,cifar10,SIG_0.050_delta=4_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.05,4.0,test_delta,4.0,,2333,4.0,,6.0,,,,,0.8399875910386321,0.5464064503738995,0.319531,0.21951897678298346,1.9385120868682861,False,,
new,cifar10,SIG_0.050_delta=4_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.05,4.0,test_delta,4.0,0,2333,4.0,,6.0,,,,,0.5550382424426553,0.34513412101869334,0.815156,0.915195328791881,2.349895477294922,True,,
baseline,cifar10,SIG_0.050_delta=12_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.05,12.0,test_delta,12.0,,2333,12.0,,6.0,,,,,0.8594078498293516,0.46024620924959203,0.613437,0.6517447518420687,1.236987590789795,False,,
new,cifar10,SIG_0.050_delta=12_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.05,12.0,test_delta,12.0,0,2333,12.0,,6.0,,,,,0.5387403269659788,0.3076382034049331,0.994062,0.9970804949256221,4.505818843841553,True,,
baseline,cifar10,SIG_0.050_delta=20_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.05,20.0,test_delta,20.0,,2333,20.0,,6.0,,,,,0.6429994986631016,0.38846601570010164,0.721406,0.8319199221465313,1.4975310564041138,False,,
new,cifar10,SIG_0.050_delta=20_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.05,20.0,test_delta,20.0,0,2333,20.0,,6.0,,,,,0.4898111790878754,0.27028854553714954,0.999844,0.9998609759488392,2.3455393314361572,True,,
baseline,cifar10,SIG_0.050_delta=28_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.05,28.0,test_delta,28.0,,2333,28.0,,6.0,,,,,0.7138955176307737,0.3472825893344348,0.92375,0.9541220631169193,1.1300208568572998,False,,
new,cifar10,SIG_0.050_delta=28_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.05,28.0,test_delta,28.0,0,2333,28.0,,6.0,,,,,0.46384607897664076,0.24302697949860952,1.0,0.9998609759488392,4.390944957733154,False,,
