dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate
cifar10,vgg,121,1,belt,belt,0.1,0.05,test_mask_rate,0.05,0.6050491797532249,0.3594143165150383,0.771875,0.9915195328791881,0.5
cifar10,vgg,122,1,belt,belt,0.1,0.1,test_mask_rate,0.1,0.605161967364104,0.34857290030320287,0.909062,1.0,0.5
cifar10,vgg,123,1,belt,belt,0.1,0.15,test_mask_rate,0.15,0.5574438429723342,0.30416681812012325,0.916719,1.0,0.5
cifar10,vgg,124,1,belt,belt,0.1,0.2,test_mask_rate,0.2,0.5690197240372585,0.3121761355643332,0.950469,1.0,0.5
cifar10,vgg,125,1,belt,belt,0.1,0.25,test_mask_rate,0.25,0.5888230310718754,0.35504254757303344,0.96125,1.0,0.5
cifar10,vgg,126,1,belt,belt,0.1,0.3,test_mask_rate,0.3,0.5425399346586959,0.2745196883392724,0.992344,1.0,0.5
cifar10,vgg,127,1,blend,blend,0.005,0.01,test_alpha,0.01,0.7994166666666667,0.5065648754392854,0.085,0.01334630891144168,
cifar10,vgg,128,1,blend,blend,0.005,0.05,test_alpha,0.05,0.7394524572649572,0.44907202881092045,0.086563,0.016265813985819548,
cifar10,vgg,129,1,blend,blend,0.005,0.1,test_alpha,0.1,0.7186955331061343,0.42196598453102196,0.267188,0.571249826219936,
cifar10,vgg,130,1,blend,blend,0.005,0.15,test_alpha,0.15,0.4556792537429819,0.2866967059932156,0.668125,0.8914222160433755,
cifar10,vgg,131,1,blend,blend,0.005,0.2,test_alpha,0.2,0.40767587209302325,0.3933545421373895,0.774687,0.9564854719866537,
cifar10,vgg,132,1,blend,blend,0.005,0.25,test_alpha,0.25,0.6663653880543634,0.5549551834240704,0.860156,0.9717781176143473,
cifar10,vgg,133,1,blend,blend,0.005,0.3,test_alpha,0.3,0.637612331555306,0.32032295092020846,0.886875,0.9902683164187405,
cifar10,vgg,134,1,blend,blend,0.01,0.01,test_alpha,0.01,0.8275569968553459,0.5097735156251856,0.087969,0.02210482413457528,
cifar10,vgg,135,1,blend,blend,0.01,0.05,test_alpha,0.05,0.8424620752427184,0.4896810219063793,0.117344,0.02863895453913527,
cifar10,vgg,136,1,blend,blend,0.01,0.1,test_alpha,0.1,0.6611176589876704,0.4063604230840885,0.660937,0.8569442513554845,
cifar10,vgg,137,1,blend,blend,0.01,0.15,test_alpha,0.15,0.6099328904754895,0.3791526813719762,0.709063,0.9443903795356596,
cifar10,vgg,138,1,blend,blend,0.01,0.2,test_alpha,0.2,0.5650075784593438,0.336647856211036,0.861094,0.9745585986375643,
cifar10,vgg,139,1,blend,blend,0.01,0.25,test_alpha,0.25,0.7868299281386502,0.41932616209060924,0.850469,0.9866536910885583,
cifar10,vgg,140,1,blend,blend,0.01,0.3,test_alpha,0.3,0.7443097129319955,0.4344618278543446,0.956406,0.9976365911302655,
cifar10,vgg,141,1,blend,blend,0.05,0.01,test_alpha,0.01,0.8371458333333334,0.46384930507907596,0.298906,0.08744612818017516,
cifar10,vgg,142,1,blend,blend,0.05,0.05,test_alpha,0.05,0.7008004761330762,0.4154591121571558,0.475,0.7208397052690115,
cifar10,vgg,143,1,blend,blend,0.05,0.1,test_alpha,0.1,0.5589415595876871,0.39253356689851193,0.905,0.9845683303211455,
cifar10,vgg,144,1,blend,blend,0.05,0.15,test_alpha,0.15,0.5111664513918178,0.28787381459938743,0.946719,0.988878075907132,
cifar10,vgg,145,1,blend,blend,0.05,0.2,test_alpha,0.2,0.4619423425306578,0.27836650851987077,0.985625,0.9976365911302655,
cifar10,vgg,146,1,blend,blend,0.05,0.25,test_alpha,0.25,0.5049525788539201,0.3270178671805095,0.966719,0.9983317113860698,
cifar10,vgg,147,1,blend,blend,0.05,0.3,test_alpha,0.3,0.4448450973574408,0.22292159382986665,0.975938,0.9995829278465175,
cifar10,vgg,148,1,upgd,upgd,0.005,4.0,test_eps,4.0,0.8169328585961343,0.5385580074536159,0.14375,0.13666064229111635,
cifar10,vgg,149,1,upgd,upgd,0.005,6.0,test_eps,6.0,0.7813061894184168,0.4820978642529987,0.2625,0.43027943834283333,
cifar10,vgg,150,1,upgd,upgd,0.005,8.0,test_eps,8.0,0.7462985622065728,0.46803977429256904,0.096406,0.5922424579452246,
cifar10,vgg,151,1,upgd,upgd,0.005,10.0,test_eps,10.0,0.47578472663699933,0.2866945052530606,0.532188,0.8747393299040734,
cifar10,vgg,152,1,upgd,upgd,0.005,12.0,test_eps,12.0,0.5765341256496485,0.3861323127904548,0.070625,0.9094953426942861,
cifar10,vgg,153,1,upgd,upgd,0.005,16.0,test_eps,16.0,0.6706451083856246,0.35078831991463,0.165625,0.974836646739886,
cifar10,vgg,154,1,upgd,upgd,0.005,20.0,test_eps,20.0,0.6095487408682214,0.358577201379349,0.079844,0.9895731961629362,
cifar10,vgg,155,1,upgd,upgd,0.005,24.0,test_eps,24.0,0.5427921087533156,0.318082781246832,0.263437,0.9958292784651744,
cifar10,vgg,156,1,upgd,upgd,0.01,4.0,test_eps,4.0,0.7937768173758866,0.5261341440191216,0.200937,0.4116502154872793,
cifar10,vgg,157,1,upgd,upgd,0.01,6.0,test_eps,6.0,0.8339620245245245,0.4951572095504173,0.29,0.6944251355484499,
cifar10,vgg,158,1,upgd,upgd,0.01,8.0,test_eps,8.0,0.618802983955437,0.3822412699637925,0.187031,0.7300152926456277,
cifar10,vgg,159,1,upgd,upgd,0.01,10.0,test_eps,10.0,0.6938260092980196,0.3856555717774357,0.271719,0.8634783817600444,
cifar10,vgg,160,1,upgd,upgd,0.01,12.0,test_eps,12.0,0.6419536625860138,0.39236398261487526,0.084531,0.8687612957041568,
cifar10,vgg,161,1,upgd,upgd,0.01,16.0,test_eps,16.0,0.48581299829157176,0.2703093870850837,0.079375,0.9765049353538162,
cifar10,vgg,162,1,upgd,upgd,0.01,20.0,test_eps,20.0,0.48524895229169607,0.26488074901260084,0.179688,0.9827610176560545,
cifar10,vgg,163,1,upgd,upgd,0.01,24.0,test_eps,24.0,0.5569769540572792,0.36417374974900496,0.035937,0.9902683164187405,
cifar10,vgg,164,1,upgd,upgd,0.05,4.0,test_eps,4.0,0.7041205092431113,0.42890786618517784,0.855625,0.7971639093563186,
cifar10,vgg,165,1,upgd,upgd,0.05,6.0,test_eps,6.0,0.4025643140981341,0.24787867972798605,0.934688,0.8046712081190046,
cifar10,vgg,166,1,upgd,upgd,0.05,8.0,test_eps,8.0,0.4191864007537688,0.2402044424778903,0.424063,0.885305157792298,
cifar10,vgg,167,1,upgd,upgd,0.05,10.0,test_eps,10.0,0.6096749422632795,0.36739511840982164,0.384688,0.9029612122897261,
cifar10,vgg,168,1,upgd,upgd,0.05,12.0,test_eps,12.0,0.5385788043478261,0.3362848121671873,0.291563,0.9528708466564716,
cifar10,vgg,169,1,upgd,upgd,0.05,16.0,test_eps,16.0,0.45081055790960445,0.25335844641353755,0.107188,0.9842902822188239,
cifar10,vgg,170,1,upgd,upgd,0.05,20.0,test_eps,20.0,0.5682365064825252,0.32214115558689616,0.085156,0.9865146670373974,
cifar10,vgg,171,1,upgd,upgd,0.05,24.0,test_eps,24.0,0.43206729395987187,0.2731326951108899,0.085938,0.9977756151814264,
