dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
cifar10,resnet18,42,1,WaNet,WaNet,0.05,1.2,test_s,1.2,0.6892647784544309,0.3476609881867547,0.529375,0.9930487974419575,0.1,4.5880866050720215,true,0.3174987908002898,0.5907818230144307
cifar10,resnet18,43,1,WaNet,WaNet,0.05,1.4,test_s,1.4,0.5122230957648546,0.29264107900839054,0.630156,0.989712220214097,0.1,3.102606773376465,false,0.23411286320671243,0.4097784766118837
cifar10,resnet18,44,1,WaNet,WaNet,0.05,2.0,test_s,2.0,0.6024509508185154,0.30796081616207616,0.41,0.9851244265257889,0.1,1.6836910247802734,false,0.24636865292966093,0.48196076065481236
cifar10,resnet18,45,1,WaNet,WaNet,0.05,4.0,test_s,4.0,0.8092471068042387,0.35883934514677507,0.795156,0.9970804949256221,0.1,2.4848473072052,true,0.29345754133423996,0.6537837506602109
cifar10,resnet18,46,1,adaptive_blend,adaptive_blend,0.005,0.01,test_alpha,0.01,0.9057329009433962,0.5228201911500319,0.037969,0.007368274711525094,0.005,4.420733451843262,false,0.4182561529200255,0.724586320754717
cifar10,resnet18,47,1,adaptive_blend,adaptive_blend,0.005,0.05,test_alpha,0.05,0.9184479166666667,0.529721034038714,0.03,0.00834144306965105,0.005,1.8610173463821411,false,0.4237768272309712,0.7347583333333334
cifar10,resnet18,48,1,adaptive_blend,adaptive_blend,0.005,0.1,test_alpha,0.1,0.7620153637123745,0.4643683312433784,0.197344,0.415681912970944,0.005,3.8932735919952393,false,0.37149466499470274,0.6096122909698997
cifar10,resnet18,49,1,adaptive_blend,adaptive_blend,0.005,0.15,test_alpha,0.15,0.8951042435424355,0.5079583771862904,0.422812,0.7913248992075629,0.005,1.0806673765182495,false,0.4063667017490324,0.7160833948339485
cifar10,resnet18,50,1,adaptive_blend,adaptive_blend,0.005,0.2,test_alpha,0.2,0.8140778344986493,0.5151838344685151,0.62625,0.8750173780063951,0.005,1.175864338874817,false,0.4121470675748121,0.6512622675989195
cifar10,resnet18,51,1,adaptive_blend,adaptive_blend,0.005,0.25,test_alpha,0.25,0.8266607766836086,0.5026388203856478,0.774062,0.8752954261087168,0.005,2.126964569091797,false,0.40211105630851823,0.661328621346887
cifar10,resnet18,52,1,adaptive_blend,adaptive_blend,0.005,0.3,test_alpha,0.3,0.6953648117960878,0.2695287282724079,0.909219,0.9382733212845822,0.005,1.7466552257537842,false,0.21562298261792634,0.5562918494368703
cifar10,resnet18,53,1,adaptive_blend,adaptive_blend,0.01,0.01,test_alpha,0.01,0.9464189814814815,0.5345066143017188,0.044687,0.007507298762685945,0.01,1.9233771562576294,false,0.42760529144137505,0.7571351851851853
cifar10,resnet18,54,1,adaptive_blend,adaptive_blend,0.01,0.05,test_alpha,0.05,0.9138098739495798,0.5231277999256421,0.045,0.016543862088141247,0.01,3.7063355445861816,false,0.41850223994051367,0.7310478991596638
cifar10,resnet18,55,1,adaptive_blend,adaptive_blend,0.01,0.1,test_alpha,0.1,0.8082931544388974,0.4735314113176139,0.505313,0.6404838036980398,0.01,4.0029096603393555,false,0.37882512905409116,0.646634523551118
cifar10,resnet18,56,1,adaptive_blend,adaptive_blend,0.01,0.15,test_alpha,0.15,0.8258666029462589,0.4949825194269135,0.634219,0.8045321840678438,0.01,1.780069351196289,false,0.39598601554153084,0.6606932823570072
